STUDENT,CLASS,PERIOD
  90,102E,  3
  90,103E,  2
  90,104D,  7
  90,113B,  5
  90,501C,  1
  90,502D,  6
  92,101G,  6
  92,102E,  3
  92,103C,  5
  92,104B,  4
  92,505A,  1
  92,506D,  2
  92,507C,  7
  94,101A,  4
  94,102F,  6
  94,103G,  7
  94,104F,  3
  94,113B,  5
  94,501F,  2
  94,502A,  1
  96,101E,  5
  96,102F,  6
  96,103B,  3
  96,104D,  7
  96,505A,  1
  96,506D,  2
  96,507G,  4
  98,101G,  6
  98,102A,  4
  98,103F,  1
  98,104C,  5
  98,113A,  7
  98,501F,  2
  98,502C,  3
 100,101A,  4
 100,102G,  1
 100,103G,  7
 100,104E,  6
 100,505B,  2
 100,506C,  3
 100,507A,  5
 102,101A,  4
 102,102G,  1
 102,103D,  6
 102,104C,  5
 102,113A,  7
 102,501F,  2
 102,502C,  3
 104,101E,  5
 104,102G,  1
 104,103B,  3
 104,104A,  2
 104,505D,  6
 104,506F,  7
 104,507G,  4
 106,101C,  2
 106,102F,  6
 106,103A,  4
 106,104C,  5
 106,113A,  7
 106,501G,  3
 106,502A,  1
 108,101E,  5
 108,102C,  2
 108,103G,  7
 108,104G,  1
 108,505D,  6
 108,506G,  4
 108,507F,  3
 110,101G,  6
 110,102E,  3
 110,103F,  1
 110,104D,  7
 110,113B,  5
 110,501B,  4
 110,502E,  2
 112,101D,  1
 112,102A,  4
 112,103G,  7
 112,104C,  5
 112,505G,  3
 112,506D,  2
 112,507E,  6
 114,101D,  1
 114,102B,  5
 114,103A,  4
 114,104F,  3
 114,113A,  7
 114,501A,  6
 114,502E,  2
 116,101G,  6
 116,102D,  7
 116,103F,  1
 116,104C,  5
 116,505C,  4
 116,506C,  3
 116,507D,  2
 118,101D,  1
 118,102E,  3
 118,103E,  2
 118,104B,  4
 118,113A,  7
 118,501E,  5
 118,502D,  6
 120,101A,  4
 120,102C,  2
 120,103C,  5
 120,104G,  1
 120,505D,  6
 120,506F,  7
 120,507F,  3
 122,101E,  5
 122,102E,  3
 122,103A,  4
 122,104E,  6
 122,113A,  7
 122,501F,  2
 122,502A,  1
 124,101B,  7
 124,102G,  1
 124,103C,  5
 124,104E,  6
 124,505C,  4
 124,506D,  2
 124,507F,  3
 126,201E,  6
 126,202B,  4
 126,203F,  7
 126,204B,  1
 126,211A,  2
 126,212A,  3
 126,213A,  5
 128,201B,  3
 128,202E,  5
 128,203F,  7
 128,204B,  1
 128,503G,  4
 128,504F,  2
 128,505D,  6
 130,201C,  2
 130,202F,  1
 130,203E,  4
 130,204G,  7
 130,211B,  6
 130,212A,  3
 130,213A,  5
 132,201A,  5
 132,202G,  2
 132,203G,  6
 132,204B,  1
 132,503C,  7
 132,504C,  3
 132,505C,  4
 134,201C,  2
 134,202F,  1
 134,203C,  5
 134,204G,  7
 134,211B,  6
 134,212A,  3
 134,213B,  4
 136,201A,  5
 136,202D,  7
 136,203E,  4
 136,204D,  3
 136,503E,  6
 136,504F,  2
 136,505A,  1
 138,201F,  1
 138,202D,  7
 138,203B,  2
 138,204A,  4
 138,211B,  6
 138,212A,  3
 138,213A,  5
 140,201G,  4
 140,202F,  1
 140,203F,  7
 140,204D,  3
 140,503B,  5
 140,504F,  2
 140,505D,  6
 142,201D,  7
 142,202C,  6
 142,203C,  5
 142,204B,  1
 142,211A,  2
 142,212A,  3
 142,213B,  4
 144,201C,  2
 144,202A,  3
 144,203G,  6
 144,204A,  4
 144,503F,  1
 144,504G,  7
 144,505F,  5
 146,201F,  1
 146,202D,  7
 146,203C,  5
 146,204E,  2
 146,211B,  6
 146,212A,  3
 146,213B,  4
 148,201E,  6
 148,202B,  4
 148,203B,  2
 148,204G,  7
 148,503A,  3
 148,504B,  1
 148,505F,  5
 150,201B,  3
 150,202D,  7
 150,203G,  6
 150,204B,  1
 150,211A,  2
 150,212B,  4
 150,213A,  5
 152,201F,  1
 152,202D,  7
 152,203G,  6
 152,204E,  2
 152,503G,  4
 152,504C,  3
 152,505F,  5
 154,201A,  5
 154,202C,  6
 154,203F,  7
 154,204B,  1
 154,211A,  2
 154,212A,  3
 154,213B,  4
 156,201F,  1
 156,202A,  3
 156,203G,  6
 156,204C,  5
 156,503G,  4
 156,504F,  2
 156,505E,  7
 158,201D,  7
 158,202G,  2
 158,203D,  1
 158,204D,  3
 158,211B,  6
 158,212B,  4
 158,213A,  5
 160,201B,  3
 160,202C,  6
 160,203D,  1
 160,204C,  5
 160,503G,  4
 160,504G,  7
 160,505B,  2
 162,201B,  3
 162,202G,  2
 162,203D,  1
 162,204G,  7
 162,211B,  6
 162,212B,  4
 162,213A,  5
 164,201E,  6
 164,202D,  7
 164,203A,  3
 164,204A,  4
 164,503F,  1
 164,504F,  2
 164,505F,  5
 166,201F,  1
 166,202G,  2
 166,203E,  4
 166,204G,  7
 166,211B,  6
 166,212A,  3
 166,213A,  5
 168,201D,  7
 168,202C,  6
 168,203A,  3
 168,204B,  1
 168,503G,  4
 168,504E,  5
 168,505B,  2
 170,201C,  2
 170,202F,  1
 170,203A,  3
 170,204G,  7
 170,211B,  6
 170,212B,  4
 170,213A,  5
 172,201B,  3
 172,202C,  6
 172,203C,  5
 172,204B,  1
 172,503C,  7
 172,504D,  4
 172,505B,  2
 174,201F,  1
 174,202A,  3
 174,203B,  2
 174,204G,  7
 174,211B,  6
 174,212B,  4
 174,213A,  5
 176,201A,  5
 176,202A,  3
 176,203F,  7
 176,204A,  4
 176,503E,  6
 176,504F,  2
 176,505A,  1
 178,201F,  1
 178,202G,  2
 178,203C,  5
 178,204G,  7
 178,211B,  6
 178,212A,  3
 178,213B,  4
 180,201E,  6
 180,202D,  7
 180,203C,  5
 180,204A,  4
 180,503A,  3
 180,504F,  2
 180,505A,  1
 182,201B,  3
 182,202D,  7
 182,203B,  2
 182,204B,  1
 182,211B,  6
 182,212B,  4
 182,213A,  5
 184,201E,  6
 184,202D,  7
 184,203A,  3
 184,204E,  2
 184,503G,  4
 184,504E,  5
 184,505A,  1
 186,201D,  7
 186,202A,  3
 186,203D,  1
 186,204E,  2
 186,211B,  6
 186,212B,  4
 186,213A,  5
 188,201E,  6
 188,202E,  5
 188,203D,  1
 188,204D,  3
 188,503G,  4
 188,504G,  7
 188,505B,  2
 190,201G,  4
 190,202C,  6
 190,203D,  1
 190,204G,  7
 190,211A,  2
 190,212A,  3
 190,213A,  5
 192,201A,  5
 192,202B,  4
 192,203G,  6
 192,204B,  1
 192,503A,  3
 192,504F,  2
 192,505E,  7
 194,201B,  3
 194,202F,  1
 194,203B,  2
 194,204G,  7
 194,211B,  6
 194,212B,  4
 194,213A,  5
 196,201F,  1
 196,202A,  3
 196,203B,  2
 196,204F,  6
 196,503C,  7
 196,504E,  5
 196,505C,  4
 198,201E,  6
 198,202E,  5
 198,203F,  7
 198,204B,  1
 198,211A,  2
 198,212A,  3
 198,213B,  4
 200,201C,  2
 200,202E,  5
 200,203E,  4
 200,204F,  6
 200,503F,  1
 200,504G,  7
 200,505G,  3
 202,201D,  7
 202,202G,  2
 202,203C,  5
 202,204B,  1
 202,211B,  6
 202,212A,  3
 202,213B,  4
 204,201F,  1
 204,202E,  5
 204,203A,  3
 204,204A,  4
 204,503E,  6
 204,504F,  2
 204,505E,  7
 206,201E,  6
 206,202A,  3
 206,203D,  1
 206,204G,  7
 206,211A,  2
 206,212B,  4
 206,213A,  5
 208,201G,  4
 208,202D,  7
 208,203A,  3
 208,204F,  6
 208,503B,  5
 208,504F,  2
 208,505A,  1
 210,201A,  5
 210,202F,  1
 210,203B,  2
 210,204G,  7
 210,211B,  6
 210,212A,  3
 210,213B,  4
 212,201C,  2
 212,202D,  7
 212,203G,  6
 212,204D,  3
 212,503B,  5
 212,504B,  1
 212,505C,  4
 214,201F,  1
 214,202A,  3
 214,203F,  7
 214,204E,  2
 214,211B,  6
 214,212B,  4
 214,213A,  5
 216,201C,  2
 216,202A,  3
 216,203F,  7
 216,204C,  5
 216,503E,  6
 216,504B,  1
 216,505C,  4
 218,201F,  1
 218,202E,  5
 218,203B,  2
 218,204G,  7
 218,211B,  6
 218,212A,  3
 218,213B,  4
 220,201B,  3
 220,202G,  2
 220,203F,  7
 220,204C,  5
 220,503G,  4
 220,504B,  1
 220,505D,  6
 222,201E,  6
 222,202D,  7
 222,203E,  4
 222,204B,  1
 222,211A,  2
 222,212A,  3
 222,213A,  5
 224,201F,  1
 224,202D,  7
 224,203G,  6
 224,204D,  3
 224,503G,  4
 224,504F,  2
 224,505F,  5
 226,201F,  1
 226,202D,  7
 226,203C,  5
 226,204F,  6
 226,211A,  2
 226,212A,  3
 226,213B,  4
 228,201F,  1
 228,202G,  2
 228,203F,  7
 228,204C,  5
 228,503A,  3
 228,504D,  4
 228,505D,  6
 230,201C,  2
 230,202D,  7
 230,203D,  1
 230,204C,  5
 230,211B,  6
 230,212A,  3
 230,213B,  4
 232,201G,  4
 232,202E,  5
 232,203D,  1
 232,204D,  3
 232,503E,  6
 232,504G,  7
 232,505B,  2
 234,201F,  1
 234,202D,  7
 234,203A,  3
 234,204F,  6
 234,211A,  2
 234,212B,  4
